RT [min] (Points),Molecular Weight (Points)
0.048,147.94598
0.053,259.92313
0.058,191.93577
0.063,327.91042
0.07,395.89792
0.843,555.87672
0.848,357.93098
0.855,487.88921
0.856,471.91158
0.856,503.86678
0.861,617.84725
0.882,387.94641
0.883,517.90468
0.883,619.86768
0.884,505.8873
0.884,403.92403
0.884,533.88232
0.884,635.84531
0.886,1587.59643
0.886,549.85991
0.886,419.90159
0.886,565.83732
0.886,1327.68071
0.886,1359.63543
0.886,289.94373
0.887,273.96625
0.887,159.98591
0.888,305.92118
0.888,435.87914
0.888,175.96344
0.888,131.99098
0.89,147.96853
0.898,339.99579
0.901,245.97126
0.909,669.79658
0.91,1339.59354
0.91,685.77417
0.911,571.79362
0.912,555.8161
0.912,539.83875
0.915,441.83556
0.915,425.85803
0.916,409.88039
0.919,1351.50601
0.92,311.87761
0.921,295.90001
0.921,561.77249
0.921,279.92249
0.921,1091.59022
0.922,545.79509
0.925,415.83688
0.925,431.81441
0.925,863.62887
0.927,181.91983
0.929,165.94232
0.929,317.83392
0.931,227.9253
0.932,153.92497
0.933,137.94743
0.935,233.88169
0.935,279.88716
0.945,255.86011
0.947,271.83766
0.947,265.88119
0.948,259.92479
0.949,327.90852
0.949,243.94727
0.95,249.90373
0.95,411.87031
0.952,309.80242
0.953,181.92887
0.957,303.84593
0.96,566.05526
0.96,334.0664
0.962,260.02971
0.963,129.96692
0.965,301.85645
0.975,523.7502
0.975,607.71184
0.976,195.9538
0.976,317.87087
0.977,401.83246
0.977,181.9383
0.977,387.81685
0.978,265.89962
0.978,303.85545
0.978,477.74457
0.982,555.74001
0.982,385.8181
0.982,349.86086
0.983,471.77845
0.983,723.66303
0.984,639.70126
0.989,545.71113
0.99,461.74946
0.996,297.88944
0.996,119.93808
0.996,129.96692
0.998,287.86077
0.998,455.7836
0.998,623.70659
0.998,539.74526
0.998,371.82193
0.998,633.73534
0.998,549.77403
0.998,381.85082
0.998,707.66797
0.998,465.81237
0.998,717.69674
0.999,801.65828
0.999,213.92825
1.007,425.99573
1.008,509.95738
1.01,342.03415
1.01,258.07305
1.01,189.00399
1.01,383.93739
1.012,155.06954
1.013,216.0149
1.013,174.11173
1.015,132.08983
1.018,344.12077
1.019,230.03045
1.019,205.98606
1.02,220.00158
1.021,302.06272
1.021,171.90954
1.025,316.07841
1.03,115.02698
1.03,105.0426
1.032,330.09382
1.033,244.046
1.037,132.05359
1.039,276.06124
1.04,133.03757
1.04,115.02795
1.045,246.0504
1.048,312.11688
1.049,285.10599
1.05,146.06929
1.053,280.05569
1.054,326.13239
1.054,148.03717
1.055,328.14775
1.056,218.05412
1.061,216.04014
1.061,119.05832
1.062,196.05832
1.063,147.05317
1.063,210.03769
1.065,251.10054
1.066,299.12161
1.067,278.04029
1.071,431.16414
1.071,226.06889
1.072,182.0787
1.073,327.11652
1.076,194.04276
1.082,238.06892
1.083,308.12203
1.084,243.05914
1.085,175.04825
1.09,265.11625
1.091,120.04231
1.094,132.04238
1.094,281.11107
1.095,162.05295
1.095,301.08287
1.096,358.11094
1.097,180.06343
1.097,144.04236
1.097,150.0529
1.099,114.03176
1.109,309.10597
1.11,491.18526
1.112,490.20119
1.112,148.03717
1.112,368.11239
1.113,442.10878
1.113,360.12666
1.114,344.1317
1.115,136.03598
1.116,208.05827
1.116,316.10051
1.116,192.0275
1.116,268.07945
1.117,136.03735
1.118,686.24803
1.12,650.23854
1.122,314.12116
1.123,488.18566
1.124,460.14292
1.126,443.12748
1.127,474.16986
1.127,203.04303
1.128,159.05323
1.129,263.06412
1.13,458.12709
1.132,577.1856
1.133,298.08987
1.135,190.04805
1.135,440.09317
1.139,372.12658
1.14,374.14166
1.141,372.09349
1.142,536.19539
1.143,476.17432
1.146,520.1642
1.146,506.18507
1.147,328.10044
1.148,489.16975
1.152,380.11258
1.152,605.18108
1.155,947.2972
1.157,858.28554
1.158,192.06327
1.161,290.04028
1.162,532.16469
1.164,546.17988
1.165,764.19889
1.166,782.20992
1.167,720.20979
1.167,378.09283
1.167,422.08266
1.168,1808.55191
1.173,478.15364
1.174,392.1125
1.178,405.11165
1.18,534.17997
1.182,550.17496
1.183,286.08997
1.186,106.02659
1.192,748.22556
1.195,448.14287
1.199,522.17999
1.2,1466.43346
1.207,342.11607
1.209,192.06344
1.212,446.12712
1.212,274.04541
1.215,814.25979
1.215,666.22246
1.221,440.08407
1.222,730.23854
1.225,684.23264
1.227,406.10863
1.229,592.18544
1.23,506.18504
1.231,556.16176
1.232,224.05324
1.237,696.23278
1.239,378.09283
1.24,1809.55459
1.24,144.04236
1.247,552.19062
1.248,566.05531
1.252,427.02941
1.252,424.11929
1.255,400.12172
1.256,330.11619
1.257,492.16931
1.258,358.11094
1.259,564.19026
1.26,150.05285
1.26,162.05288
1.26,254.06381
1.263,619.23274
1.264,752.22026
1.266,178.04777
1.267,402.13698
1.269,430.13224
1.271,472.14309
1.273,260.05069
1.275,182.07869
1.277,488.13791
1.277,402.10167
1.28,256.07944
1.281,654.22235
1.281,220.05828
1.283,846.28581
1.284,638.19104
1.284,510.11995
1.285,504.16944
1.285,296.07586
1.286,384.12391
1.287,342.08151
1.29,914.27324
1.29,566.16965
1.291,384.09027
1.294,296.07428
1.295,800.24411
1.295,728.22283
1.295,180.06344
1.296,224.05325
1.299,144.00579
1.3,384.05408
1.3,416.08015
1.301,488.10161
1.301,228.00365
1.301,206.04267
1.303,220.02207
1.304,384.05656
1.304,516.13301
1.305,238.03246
1.305,456.11184
1.305,192.0283
1.306,366.0792
1.307,130.02672
1.308,392.1125
1.308,391.11601
1.309,366.04328
1.309,618.1637
1.309,679.26513
1.31,314.12121
1.312,620.11043
1.314,517.21223
1.314,816.27537
1.315,456.1094
1.316,666.1527
1.319,324.03573
1.32,174.01649
1.322,534.14378
1.323,388.06157
1.326,474.15869
1.329,400.12172
1.33,194.04265
1.33,312.10554
1.33,136.0373
1.33,604.18556
1.33,382.07474
1.331,208.05831
1.334,162.05292
1.334,515.1965
1.337,498.11998
1.338,322.09013
1.338,298.08985
1.339,608.18054
1.34,240.08452
1.342,270.09511
1.342,326.04839
1.347,476.13805
1.348,743.07595
1.35,504.13318
1.352,446.12738
1.353,452.0781
1.362,396.12029
1.362,430.09581
1.37,192.02694
1.37,406.036
1.37,638.19094
1.371,606.20121
1.371,798.22826
1.374,134.02147
1.375,680.20165
1.376,472.10673
1.376,275.03263
1.377,146.0214
1.378,112.01611
1.378,354.07984
1.378,276.02908
1.379,174.01651
1.381,116.01099
1.383,382.07472
1.384,338.08493
1.384,310.05374
1.384,650.19099
1.384,347.06284
1.386,176.03214
1.389,458.12733
1.396,374.04596
1.405,390.04099
1.431,134.0215
1.438,348.03027
1.45,290.02499
1.462,333.98866
1.462,440.01143
1.47,446.0284
1.472,504.13316
1.49,548.08015
1.493,310.05373
1.497,134.0215
1.53,176.03215
1.534,352.06416
1.535,332.03543
1.537,116.011
1.538,134.02147
1.545,546.14359
1.546,530.05
1.568,374.04596
1.617,244.01952
1.623,204.02699
1.668,194.07902
1.671,240.08451
1.682,416.11659
1.694,484.10414
1.696,329.06563
1.698,414.05779
1.717,338.0849
1.717,307.08373
1.735,392.07169
1.758,436.00362
1.76,413.02536
1.772,414.02168
1.774,806.06205
1.781,391.045
1.795,392.03969
1.807,606.04934
1.808,605.0529
1.812,347.06283
1.817,801.10696
1.827,354.07969
1.836,428.01793
1.843,620.04539
1.848,834.05439
1.849,112.01612
1.851,406.03594
1.852,614.02839
1.858,568.08905
1.858,192.02685
1.862,363.05769
1.877,342.11591
1.878,416.11659
1.879,605.08887
1.883,606.04917
1.883,721.10571
1.883,521.09303
1.883,806.06215
1.884,800.14595
1.885,800.11
1.885,605.05263
1.886,391.07958
1.886,628.03071
1.886,307.08372
1.887,356.09662
1.888,805.0653
1.888,220.05828
1.891,768.10189
1.891,392.03965
1.892,391.04476
1.898,354.07984
1.899,855.13605
1.9,562.13826
1.9,724.19122
1.903,614.02836
1.918,112.0161
1.925,599.11018
1.929,406.03592
1.959,192.02681
1.961,130.02667
1.971,632.99948
1.978,112.01613
2.001,511.93406
2.001,632.00118
2.006,614.02843
2.007,654.98134
2.011,508.9345
2.011,505.93529
2.012,440.97172
2.014,406.03595
2.016,510.93509
2.021,185.96233
2.021,448.9661
2.021,129.0427
2.024,291.95226
2.027,620.04537
2.03,834.05435
2.037,642.02729
2.048,428.01791
2.06,174.01651
2.079,449.99994
2.093,388.02531
2.095,634.19608
2.097,130.02669
2.105,254.10021
2.116,188.03222
2.148,458.12733
2.173,516.133
2.208,281.99635
2.21,192.02677
2.213,260.01442
2.229,612.15239
2.229,634.13433
2.261,764.22302
2.286,766.23852
2.309,738.24383
2.31,806.23124
2.312,190.04797
2.32,288.04819
2.33,244.0695
2.334,514.15376
2.395,516.13299
2.4,406.19504
2.409,148.03725
2.416,489.10961
2.417,389.09331
2.424,321.1058
2.425,257.08997
2.426,550.20136
2.438,541.20085
2.44,311.07723
2.442,393.03621
